#codiceFiscale,password
04dabmboddqmazk0,04dabmboddqmazk0
cvbhedmh6qoliqcg,cvbhedmh6qoliqcg
oyrjvoqsyl3i6bqw,oyrjvoqsyl3i6bqw
faccriupyvpepvfl,faccriupyvpepvfl
57nri6hgkljhwfd9,57nri6hgkljhwfd9
hgl4n425lieh6mqb,hgl4n425lieh6mqb
0kxjtaxugviimskt,0kxjtaxugviimskt
qfwc2e3yx3qfsj38,qfwc2e3yx3qfsj38
bdshjwam8ksn1ljj,bdshjwam8ksn1ljj
h0pgy8lexmtd0vjz,h0pgy8lexmtd0vjz
k3tajphm5ig4c6pu,k3tajphm5ig4c6pu
x9rblxqvs0ighlxg,x9rblxqvs0ighlxg
4ayhv1igoxfm7rtv,4ayhv1igoxfm7rtv
zvtixanfklqrscgt,zvtixanfklqrscgt
0g0enb1wtsaheit9,0g0enb1wtsaheit9
prr46vj9foxqvawd,prr46vj9foxqvawd
ivgrrgmjqbyuu2vq,ivgrrgmjqbyuu2vq
dliezynvly2m61kw,dliezynvly2m61kw
teao9gxkwpuqliyd,teao9gxkwpuqliyd
z1t6rjujkpkoy21u,z1t6rjujkpkoy21u
7pgen0n1ggnvbnfs,7pgen0n1ggnvbnfs
e3gw7vaoejrkxeec,e3gw7vaoejrkxeec
ebk4drxbxy2nzwbg,ebk4drxbxy2nzwbg
mlhhnehlewoxk1vv,mlhhnehlewoxk1vv
ownclnctueuphagz,ownclnctueuphagz
ye04nbnbbnkttojm,ye04nbnbbnkttojm
xth8shw1fak9zmrx,xth8shw1fak9zmrx
m7ncojjbxh7qgtxf,m7ncojjbxh7qgtxf
psmfl7nr0ajb9ecs,psmfl7nr0ajb9ecs
lbcnr6tcvv7zsgar,lbcnr6tcvv7zsgar
o53mcnlmoullc35m,o53mcnlmoullc35m
bgwjd72jzclqdikg,bgwjd72jzclqdikg
m17r3vpd79l6gsic,m17r3vpd79l6gsic
caqhgfeozannfyhx,caqhgfeozannfyhx
alwfbv95svfzjs4l,alwfbv95svfzjs4l
ot9haihxph2tiois,ot9haihxph2tiois
egbllelnidfle7wn,egbllelnidfle7wn
byh8abewvrx9iiqr,byh8abewvrx9iiqr
novqqvuguxntdntn,novqqvuguxntdntn
lzvagmyvdjrfplye,lzvagmyvdjrfplye
x1jsudihhpop9lad,x1jsudihhpop9lad
jn10olfg5hekwtwq,jn10olfg5hekwtwq
mpfbrkogo62nbdfq,mpfbrkogo62nbdfq
4dx8ycqbu9kzspd5,4dx8ycqbu9kzspd5
xznhbxjimwxvtyly,xznhbxjimwxvtyly
lnruy4vmrgcmryir,lnruy4vmrgcmryir
ei0mtkzc8dvf4wtl,ei0mtkzc8dvf4wtl
0lcqxfrr1j5gghzd,0lcqxfrr1j5gghzd
oj2ixpzytsl8suwc,oj2ixpzytsl8suwc
k4qnmmuviug3zjcq,k4qnmmuviug3zjcq
ozxogtxbwkxukdi3,ozxogtxbwkxukdi3
yi0bmmhzkd76g43g,yi0bmmhzkd76g43g
eto7lgvgahymnxk2,eto7lgvgahymnxk2
0mizankdooyot68g,0mizankdooyot68g
3x873jve95q70pa0,3x873jve95q70pa0
vcfaya0w9mjup6p8,vcfaya0w9mjup6p8
cqoqnhsf2zkbwekg,cqoqnhsf2zkbwekg
o1phziabmunwvxlt,o1phziabmunwvxlt
twelevp4tmlzsqe8,twelevp4tmlzsqe8
61hqbp0dvssyebik,61hqbp0dvssyebik
pkittwyx6zkaufz6,pkittwyx6zkaufz6
6bpbtifppjymb6mq,6bpbtifppjymb6mq
nennemotuklntjnn,nennemotuklntjnn
irlabmk2exzw9p5g,irlabmk2exzw9p5g
xu4nlccfzmnjwlan,xu4nlccfzmnjwlan
5by4zzarjcqa5jvp,5by4zzarjcqa5jvp
reoc442qpyz18jw0,reoc442qpyz18jw0
ny2p5ztm9kypirb5,ny2p5ztm9kypirb5
ozxnm3jj6ksmp5hh,ozxnm3jj6ksmp5hh
n1mhzlg8hbg02ban,n1mhzlg8hbg02ban
1fgsg5faqvzcsdxm,1fgsg5faqvzcsdxm
